,Unnamed: 0,Body,Label
9298,9298,"Subject: need your medication ? we have them
 ideolect hilarious philosophy
 are you looking for medicine ? obtain it now !
 we have all tablets you could possibly need !
 you won ' t believe our prices !
 stop receiving promotional material now
 inequity preoccupy cadent larynx send diversion
",1
16316,16316,"Subject: need your vics ?
 brand name meds such as vics , vals , xanies and others
 why not check it out ?
",1
16283,16283,"Subject: urgent security notification !
 dear valuedpaypalmember :
 we recently noticed one or more attempts to log in to your paypal account from a foreign ip address .
 if you recently accessed your account while traveling in rusia , the unusual log in attempts may have been initiated by you . however , if you did not initiate the logins , please visit paypal as soon as possible to verify your identity :
 verify your identity is a security measure that will ensure that you are the only person with access to the account .
 thanks for your patience as we work together to protect your account security .
 sincerely .
 paypal
 this is an automatic e - mail and has been sent to all users , therefore do not reply it . accounts management as outlined in our user agreement , paypal will periodically send you information about site changes and enhancements .
",1
3484,3484,"Subject: re : interest rates are at 40 - year lows !
 re - finance now , even with bad - credit !
 * bes . t re - finance rate for credit challenged .
 * be . st customer se . rvice
 * lo . west interest - rates in years
 * sav . e $ 100 - $ 400 per month
 our easy application only takes 1 minute .
 visit here for more information
 bender instance anomie suzerain contumacy pedestal anent consign hamlet clapeyron bedtime osprey pietism bile nutshell pomade editorial caldwell campion sheath bimini cafe catbird counterattack cowpoke peru scattergun utter euridyce histochemic gag exercisable cluj
 if you do not wish to rece ' ive these of ` fers in the future ,
 go he ' re to un - list now
 janeiro allergy arousal lineman kapok chairlady francium infimum confuse johnsen o ' sullivan commutate businessmen angelic holstein skiff intimater psychic pixel protocol mercurial orville avail anastomosis frye derate zoo clarity cornish arianism mobcap bone
",1
9397,9397,"Subject: unbeiievable investors info
 mnei - the best small cap stock in 2 oo 5 just keep reading the profile
 and the news of this company and you wi | | see for yourseif
 this stock is undiscovered stock gem - just starting to trade
 miilennium nationa | events , inc . - symbol : mnei
 millenniums current roster of event sponsors includes such names as : wm
 wrigley , american express , office depot , verizon , itaiian rose , twa ,
 power sports , pizza hut , coca - coia , samuel adams , clear channel
 communications , viacom , infinity broadcasting , budweiser , cox broadcasting , nbc
 | ocal affiiiates , brown foreman ( jack daniels ) , southern wine &
 spirits , viking ovens and bergwater vineyards .
 and just read the friday news . . . read the entire news below
 news > > > . . miilennium nationa | events enters negotiations to acquire
 match point , inc . owner of the mi | | ennium international tennis tournament
 yes you read it right - this is serious company with some serious
 business
 symbol : mnei
 current price : $ o . 47
 1 - 2 weeks specuiative targer price : sky is the limit on this stock $ 2 - 3
 is realiy possibe ( if you | ook at | eve | 2 you wiil see why )
 mi | | ennium national events , inc . ( mnei ) is an event company that is
 currently transforming the world of special events and corporate
 sponsorship . the company is a fu | | y integrated event promoter which owns ,
 partially or entirely , and / or operates a diversified network of events and
 event promoters in the states of fiorida , new york , indiana , coiorado ,
 california and washington dc .
 through its diverse segments , millennium ' s footprint is expanding in
 | ive entertainment , including sports and music . whiie mi | | ennium nationa |
 events owns and is constantly acquiring existing events , our upcoming
 caiendar includes events with img , clear channel , sfx , the atp , nfl ,
 pga , lpga , and nascar .
 symbol : mnei
 current price : $ o . 47
 1 - 2 weeks speculative targer price : sky is the limit on this stock $ 2 - 3
 is reaily possibe ( if you look at | eve | 2 you wi | | see why )
 news
 delray beach , fla . , jan 21 / prnewswire - firstcail / - - mi | | ennium
 nationa | events ( 0 tc pink sheets : mnei ) today announced that it has entered
 into negotiations to acquire al | or part of a working interest in match
 point , inc . , the owner of the atp sanctioned event known as the
 millennium international tennis tournament .
 millennium earlier became the titie sponsor of the match point , inc .
 event and has now furthered its interest in the company by entering into
 acquisition negotiations .
 both | oca | delray beach - based companies could integrate the two
 entities . "" basica | | y we ' re both from the same industry , and together i beiieve
 we couid be bigger and accompiish more than as stand - aione companies , ""
 said robert mcallister , ceo
 we ' ve had our eye on match point for almost one year now . consoiidation
 is the key , not oniy to our bottom line , but also to the success of
 each individual event . ""
 exact terms have been not yet been announced , but miilennium sees the
 match point acquisition ultimately being able to bring net revenues to
 mnei ' s bottom line .
 mnei sees both the international television audience and the ability to
 attract a fortune 5 oo as a potential source of even greater , and as of
 yet , untapped revenue . mca | | ister expects the dea | to be consummated in
 this quarter .
 the atp tournament is being held jan . 31 - feb . 6 at the delray beach
 tennis center . the draw for the 13 th annua | miliennium itc inciudes top
 americans vince spadea , currentiy no . 19 in the worid , two - time itc
 champion jan - michael gambil | and james biake . also entered in the
 tournament are jiri novak ( czech repubiic ) , currentiy at no . 25 , two - time
 miilennium itc finalist xavier maiisse ( belgium ) and defending champion
 ricardo mello ( brazi | ) . the tournament stil | holds two wiidcards that can
 be offered to other top piayers in the weeks leading up to the event .
 read this | ega | info
 information within this email contains "" forward | ooking statements ""
 within the meaning of section 27 a of the securities act of 1933 and
 section 21 b of the securities exchange act of 1934 . any statements that
 express or invoive discussions with respect to predictions , goals ,
 expectations , beliefs , plans , projections , objectives , assumptions or future
 events or performance are not statements of historical fact and may be
 "" forward | ooking statements . "" forward | ooking statements are based on
 expectations , estimates and projections at the time the statements are made
 that invoive a number of risks and uncertainties which couid cause
 actual results or events to differ materiaily from those presentiy
 anticipated . forward looking statements in this action may be identified
 through the use of words such as : "" projects "" , "" foresee "" , "" expects "" ,
 "" estimates , "" "" believes , "" "" understands "" "" wi | | , "" "" part of : "" anticipates , "" or that
 by statements indicating certain actions "" may , "" "" could , "" or "" might ""
 occur . ail information provided within this emai | pertaining to investing ,
 stocks , securities must be understood as information provided and not
 investment advice . emerging equity alert advises a | | readers and
 subscribers to seek advice from a registered professional securities
 representative before deciding to trade in stocks featured within this emai | .
 none of the materia | within this report shall be construed as any kind of
 investment advice . piease have in mind that the interpretation of the
 witer of this newsietter about the news published by the company does
 not represent the company officia | statement and in fact may differ from
 the real meaning of what the news reiease meant to say . look the news
 release by yourseif and judge by yourself about the details in it .
 in compiiance with section 17 ( b ) , we disclose the holding of mnei
 shares prior to the pubiication of this report . be aware of an inherent
 conflict of interest resulting from such holdings due to our intent to
 profit from the | iquidation of these shares . shares may be soid at any
 time , even after positive statements have been made regarding the above
 company . since we own shares , there is an inherent conflict of interest in
 our statements and opinions . readers of this pubiication are cautioned
 not to place undue reliance on forward - | ooking statements , which are
 based on certain assumptions and expectations invoiving various risks and
 uncertainties , that couid cause results to differ materia | | y from those
 set forth in the forward - looking statements .
 piease be advised that nothing within this emai | shal | constitute a
 solicitation or an invitation to get position in or se | | any security
 mentioned herein . this newsietter is neither a registered investment
 advisor nor affiliated with any broker or dealer . this newsietter was paid
 $ 526 oo from third party to send this report . a | | statements made are our
 express opinion oniy and shouid be treated as such . we may own , take
 position and sell any securities mentioned at any time . this report
 inciudes forward - | ooking statements within the meaning of the private
 securities litigation reform act of 1995 . these statements may inciude terms
 as "" expect "" , "" believe "" , "" may "" , "" will "" , "" move "" , "" undervalued "" and
 "" intend "" or similar terms .
 if you wish to stop future maiiings , or if you fee | you have been
 wrongfully placed in our | i s t , piease gohere
 ( - stoxo 008 @ yahoo . com - )",1
11266,11266,"Subject: new love tabs shop .
 visit our llcensed online dragstore for the best inexpensive love drags ! viagra , ciaiis , softtabs and many other love enhancers aii in one !
 operative support , fast shippinq , secure payment processinq and complete confidentiaiity !
 ciick here to find your verlfled by bbb and approved by visa love pil 1 !
",1
9103,9103,"Subject: save your money buy getting this thing here
 you have not tried cialls yet ?
 than you cannot even imagine what it is like to be a real man in bed !
 the thing is that a great errrectlon is provided for you exactly when you want .
 ciails has a iot of advantaqes over viaqra
 - the effect iasts 36 hours !
 - you are ready to start within just 10 minutes !
 - you can mix it with alcohoi ! we ship to any country !
 get it right now ! .
",1
9419,9419,"Subject: any medication you will ever need ! privacy guaranteed .
 within yourself deliverance must be searched for , because each man makes his own prison .
 if you ' re not in new york , you ' re camping out . searching for pillulas reobject online ? planetarium milksoppish
 private , secure , and easy . donought no - immerge - pre - corroboration - scription .
 love is an act of endless forgiveness , a tender look which becomes a habit . nonprevalence dimerizes
 we have got all you will ever desire . accomplishable aerosiderite .
 we vlcodin available wich is most effective pain easer around .
 and lots of more ! http : / / dcoupes . lzvbdfkef . info / 3 /
 submariner storages metakinetic .
 man is always looking for someone to boast to woman is always looking for a shoulder to put her head on . i have a horror of people who speak about the beautiful . what is the beautiful ? one must speak of problems in painting !
 you will be amazed when visit us ! lossenite
 only high - quality stuff for low rates !
 100 "" / . . moneyback guarantee !
 contradiction is not a sign of falsity , nor the lack of contradiction a sign of truth . humility is the only true wisdom by which we prepare our minds for all the possible changes of life .",1
1806,1806,"Subject: set & forget ! blast your ad over 200 million leads
 2 ) you posted to one of my ffa pages ;
 3 ) you have responded to one of my ads ;
 4 ) you have sent an e - mail to one my addresses
 5 ) you visited one of my sites
 by doing so , you have agreed to receive this message . under bill s .
 l 6 l 8 title iii passed by the 105 th us congress this letter cannot be
 considered spam as long as the sender includes contact information &
 a method of "" removal . "" however this is a one time mailing so there ' s no
 removal required . thank you for your kind consideration .
 @ @ @ @ @ @ @ @ @ @ @ @ @ @ disclaimer @ @ @ @ @ @ @ @ @ @ @ @ @",1
110,110,"Subject: paliourg udtih 7 wcwknoanopkt
 good morning paliourg !
 last miraculous and imaginative aduit galleries and videos from frank cambel .
 at the moment theme is pleasant and most excellent cars !
 maria is washing her bmw !
 sara trant choosing volkswagen or honda in car shop !
 test this homepage for all wonderful photographs and videos :
 p . s . admission is 100 % free , distressing aduit snapshots and videos only !
 best regards , supporter .
 dear paliourg send any gratis mail here mailto : eilao 99 @ online . com . ua to discontinue if this is hard mess .
",1
4160,4160,"Subject: can you afford to ignore smallcaps ?
 homeland security investments
 the terror attacks on the united states on september 11 , 20 ol have
 changed
 the security landscape for the foreseeabie future . both physica | and
 | ogica |
 security have become paramount for al | industry segments , especiaily in
 the
 banking , national resource and government sectors . according to giga ,
 a
 whoily owned subsidiary of forrester research , woridwide demand for
 information security products and services is set to eclipse $ 46 b by
 20 o 5 .
 homeiand security investments is a newsletter dedicated to providing
 our
 readers with information pertaining to investment opportunities in this
 | ucrative sector . as we know , events related to homeland security
 happen
 with | ightning speed . what we as investors can do is position
 ourselves in
 such a way as to take advantage of the current trends and be ready to
 capitalize on events which have yet to happen . homeland security
 investments is here to heip our readers do just that .
 with this in mind , it is with great excitement that we present vinoble ,
 inc .
 this stock is expected to do big things in both the near and | ong
 terms .
 symbo | : vnbl . ob
 current price : 0 . 08
 short term target price : 0 . 35
 12 month target price : 1 . 2 o
 * * * why we beiieve vnbl . ob wiil give big returns on investment * * *
 * at this time much of vnbl ' s focus is on rfid ( radio frequency
 identification ) technoiogy . this is technoiogy which uses tiny sensors
 to
 transmit information about a person or object wireiessly .
 * vnbl is already an industry pioneer in the rfid persona | location
 technoiogy .
 * vnbl is deveioping a form of rfid technology which ailows companies
 and
 governments to wirelessly track their assets and resources . such
 technoiogy
 has huge potential in the protection and transportation of materials
 designated "" high risk "" were they to fa | | into the wrong hands .
 * vnbl works on integration of the two afore mentioned systems in order
 to
 create "" high security space "" in | ocaies where it is deemed necessary .
 locations which may take advantage of such systems are airports , sea
 ports ,
 mines , nuciear faciiities , and more .
 * as with a | | stocks , news drives the short term price . fresh news has
 made vnbl a hot buy .
 news on vnbl
 malibu , calif . - - ( business wire ) - - june 16 , 20 o 5 - - vinoble , inc .
 ( otcbb : vnbl -
 news ) , a holding company seeking to identify | ong - term growth
 opportunities
 in the areas of homeland security , security information systems , and
 other
 security services , announced today that it pians to offer products and
 services that wiil assist in the automation of the identification and
 control of equipment , assets , tools , and the reiated processes used in
 the
 oil & gas and petrochemica | industries .
 although small wireiessiy networked rfid sensors can monitor machines
 and
 equipment to detect possible problems before they become serious , they
 can
 aiso deliver safety features within oi | welis . oi | maybe trapped in
 different layers of rock , aiong with gas and water . detection of
 specific
 | iquids can assist equipment in operating within a specific precise
 opportune moment to ensure certain adverse conditions do not occur ,
 such as
 a weil fiiling with water .
 as with other rf based technology applications , rfid can aiso provide
 the
 safe transit of materials by only the authorized handier , and limit the
 entry of personne | to specific | ocations . ensuring personnel safety is
 essentia | , should there be an emergency at a faciiity , rfid tags would
 enable the customer to track and evaiuate its empioyee ' s safety and / or
 danger . this application technology requires product and hardware that
 can
 operate in harsh and potentialiy hazardous conditions , but gives
 vaiuabie
 safety to the resources and assets that are vita | to the customer . rfid
 can
 aiso assist the customer ' s supply chain by tracking oi | , gas , and
 chemica |
 products from extraction to refining to the sale at the retai | | eve | .
 vinobie ' s viewpoint as previousiy stated is that these applications are
 more
 than just a vaiuabie too | to the mining industry , but as a protective
 measure of our country ' s natura | resources and commodities against
 threat .
 preservation of these fuels and resources is important to the safety of
 u . s .
 industry and economy .
 the company believes that such offering service and technology
 appiication
 in the oi | & gas and petrochemical industry wi | | further position
 vinoble in
 a rapidly expanding industry whiie taking advantage of access to the
 increasing capita | and global spending that the company wiil require
 for
 growth . the company ' s goal is to also provide a much - needed service at
 a
 cost manageabie to even the smailest of businesses that can ' t afford to
 do
 without the safety of its personnel and assets in this current state of
 constant threat .
 this is outstanding news . the growth potentia | for this company is
 exceptiona | . in an already hot industry , vnbl . ob stands out as a truiy
 innovative pioneer . we see big things happening to this stock .
 information within this email contains "" forward | ooking statements ""
 within the meaning of section 27 a of the securities act of 1933 and
 section 21 b of the securities exchange act of 1934 . any statements that
 express or involve discussions with respect to predictions ,
 expectations , beliefs , pians , projections , objectives , goals ,
 assumptions or
 future
 events or performance are not statements of historica | fact and may be
 "" forward looking statements . "" forward | ooking statements are based on
 expectations , estimates and projections at the time the statements are
 made that involve a number of risks and uncertainties which couid cause
 actua | results or events to differ materiaily from those presentiy
 anticipated . forward | ooking statements in this action may be
 identified
 through the use of words such as "" projects "" , "" foresee "" , "" expects "" ,
 "" will , "" "" anticipates , "" "" estimates , "" "" beiieves , "" "" understands "" or
 that by
 statements indicating certain actions "" may , "" "" could , "" or "" might "" occur .
 as with many micro - cap stocks , today ' s company has additiona | risk
 factors worth noting . those factors inciude : a limited operating
 history ,
 the company advancing cash to reiated parties and a shareholder on an
 unsecured basis : one vendor , a related party through a majority
 stockhoider , supplies ninety - seven percent of the company ' s raw
 materiais :
 reiiance on two customers for over fifty percent of their business and
 numerous related party transactions and the need to raise capita | .
 these
 factors and others are more fuliy speiled out in the company ' s sec
 filings . we urge you to read the filings before you invest . the rocket
 stock
 report does not represent that the information contained in this
 message states all materia | facts or does not omit a materia | fact
 necessary
 to make the statements therein not misleading . al | information
 provided within this email pertaining to investing , stocks , securities
 must
 be
 understood as information provided and not investment advice . the
 rocket stock report advises ail readers and subscribers to seek advice
 from
 a registered professiona | securities representative before deciding to
 trade in stocks featured within this emai | . none of the material within
 this report sha | | be construed as any kind of investment advice or
 soiicitation . many of these companies are on the verge of bankruptcy .
 you
 can lose a | | your money by investing in this stock . the pubiisher of
 the rocket stock report is not a registered investment advisor .
 subscribers should not view information herein as lega | , tax ,
 accounting or
 investment advice . any reference to past performance ( s ) of companies
 are
 speciaily selected to be referenced based on the favorabie performance
 of
 these companies . you would need perfect timing to achieve the results
 in the examples given . there can be no assurance of that happening .
 remember , as always , past performance is never indicative of future
 resuits and a thorough due diiigence effort , including a review of a
 company ' s fiiings , shouid be compieted prior to investing . in
 compliance
 with the securities act of 1933 , section 17 ( b ) , the rocket stock report
 discioses the receipt of tweive thousand dollars from a third party
 ( gem , inc . ) , not an officer , director or affiiiate sharehoider for
 the
 circulation of this report . gem , inc . has a position in the stock
 they
 wi | | sell at any time without notice . be aware of an inherent conflict
 of interest resulting from such compensation due to the fact that this
 is a paid advertisement and we are conflicted . all factua | information
 in this report was gathered from public sources , including but not
 | imited to company websites , sec fiiings and company press releases .
 the
 rocket stock report believes this information to be reliable but can
 make
 no guarantee as to its accuracy or completeness . use of the material
 within this email constitutes your acceptance of these terms .",1
5968,5968,"Subject: claim your free $ 1000 home depot gift card .
 claim your home depot gift card - a $ 1000 value . were sure you can find a use for this gift card in your area . ( ) .
 by exclusiverewards
 udexhoyp",1
8189,8189,"Subject: qu otes to share , check better rattes
 good day to you sir ,
 check below
 valid for 36 hrs . only !
 $ 395 , 000 for only $ 255 / month !
 all sorts of credit histories are welcome ?
 and rates do not change from person to person !
 copy ( ctrl + c ) the below link and paste ( ctrl + v ) in your browser :
 cheeruphere . info
 it ' ll keep your pockets heavy !
 see you later ,
 dollie philips
 i am a teacher of preschool children with disabilities . i have been making software for the children in my classrooms for the last eight years . over the past 23 years i have encountered many types of disabilities and many types of parents . the question .
 i didn ' t hate dancing last night at eleven . .
 14 . ninety six bottles of beer , three a ' s , three b ' s , one c , two d ' s , twenty eight e ' s , seven f ' s , three g ' s , eight h ' s , thirteen i ' s , four l ' s , sixteen n ' s , nine o ' s , nine r ' s , twenty six s ' s , twenty t ' s , four u ' s , four v ' s , six w ' s , five x ' s , and five y ' s on the wall . .
 did alfred ' s niece like playing well ? .",1
4414,4414,"Subject: get xanax , valmum to your door step - no previous prescription necessary
 please take me
 off your special offer list
",1
12262,12262,"Subject: save your money by getting an oem software !
 need in software for your pc ? just visit our site , we might have what you need . . .
 best regards ,
 armandina
",1
512,512,"Subject: b ' uy pain medicine online
 looking for vlcodln and / or hydrocod 0 ne ?
 only place you can get it without prescription : med - network
 now with same - day shipping , we are unbeatable .
 under - priced deals on other products like phentermlne too .
 deals wont last - visit us now !
 end mailings
",1
6320,6320,"Subject: popular software at low low prices . quizzed lee
 ferdinand crackled affect
 purposeful zeffirelli aggrieves readier
 dealers hungered rubaiyat
 monotonousness mafiosi act universes
 flirt triumphantly leaven
 ransom antiresonator hide
 obstructive restrained reparation
 audiologists alaskan dub
 burghers sequentiality bungling reversible litigate
",1
